id,source,name,gt_mm,gt_adj_mm,measured_mm,error_pct,status,wall_visible,obstacle,room,note,classification,folder
036,기존,래미안원베일리_115동31층_113_76__84_93__거실2_4500.,4500,4340,4345,0.1,ok,one_unclear,none,거실,"주방 방향, 좌측 벽 끝 불명확",rest,05_나머지
037,기존,래미안원베일리_115동31층_113_76__84_93__큰침실_3600.,3600,3440,3856,12.1,ok,one_unclear,none,안방,우측 복도 방향 열려있음,rest,05_나머지
038,기존,래미안원베일리_107동8층_80_38__59_96__거실1방향_3600.,3600,3440,3998,16.2,ok,both_clear,yes,거실,"주방 방향, 빌트인 아일랜드 가까이",rest,03_장애물있음
039,기존,래미안원베일리_107동8층_80_38__59_96__거실2방향_3600.,3600,3440,4465,29.8,ok,one_unclear,yes,거실,"창문 정면, 우측 아일랜드 가까이",rest,03_장애물있음
040,기존,래미안원베일리_103동12층_154_87__116_95__거실_5000.,5000,4840,5403,11.6,ok,one_unclear,yes,거실,"코너 촬영, 좌측 아일랜드 가까이",rest,03_장애물있음
041,기존,래미안원베일리_103동12층_154_87__116_95__발코니쪽방_27,2700,2540,2606,2.6,ok,both_clear,none,침실(발코니),"창문 정면, 양쪽 벽 명확",final_suspect,02_의심스러운
042,기존,래미안원베일리_103동12층_154_87__116_95__입구방시점1_3,3300,3140,3630,15.6,ok,one_unclear,none,침실(입구),붙박이장 벽면 차지,rest,05_나머지
043,기존,래미안원베일리_103동12층_154_87__116_95__입구방시점2_3,3300,3140,1495,52.4,ok,one_unclear,none,침실(입구),좌측 벽 잘림,rest,05_나머지
044,기존,래미안원베일리_115동24층_112_85__84_95__작은방1시점_28,2800,2640,3397,28.7,ok,one_unclear,none,침실(작은),"붙박이장 정면, 우측 문 열림",rest,05_나머지
045,기존,래미안원베일리_115동24층_112_85__84_95__작은방2시점_28,2800,2640,2689,1.9,ok,both_clear,none,침실(작은),"좌측 코너 창문, 좌측 벽 잘림",final_clean,01_좋은조건
046,기존,래미안원베일리_115동24층_112_85__84_95__큰침실_3600.,3600,3440,3830,11.3,ok,both_clear,none,안방,"정면 문 두 개, 양쪽 벽 명확",final_suspect,02_의심스러운
047,기존,올림픽파크포레온_312동중층_112_69__84_99__2700작은방2방,2700,2540,3041,19.7,ok,both_clear,yes,침실(작은),"붙박이장 정면, 양쪽 벽 명확",rest,03_장애물있음
048,기존,올림픽파크포레온_312동중층_112_69__84_99__3000작은방.p,3000,2840,3837,35.1,ok,both_clear,yes,침실(작은),"붙박이장 정면, 양쪽 벽 명확",rest,03_장애물있음
049,기존,올림픽파크포레온_312동중층_112_69__84_99__큰침실1방향.pn,3600,3440,4008,16.5,ok,one_unclear,none,안방,"발코니 도어 우측, 우측 벽 잘림",rest,05_나머지
050,기존,올림픽파크포레온_312동중층_112_69__84_99__큰침실2방향.pn,3600,3440,3299,4.1,ok,both_clear,none,안방,"문 방향, 양쪽 벽 명확",final_suspect,02_의심스러운
051,기존,올림픽파크포레온_321동고층__62_24__39_95__거실.png,3100,2940,844,71.3,ok,one_unclear,none,거실,"코너 촬영, 우측 빌트인장+주방 가림",rest,05_나머지
052,기존,올림픽파크포레온_321동고층__62_24__39_95__큰침실.png,2700,2540,2606,2.6,ok,one_unclear,none,안방,"코너 촬영, 좌측 창문벽 잘림",rest,05_나머지
053,기존,올림픽파크포레온_417동중층_112_98__84_99__2700작은방.p,2700,2540,2844,12.0,ok,both_clear,none,침실(작은),"창문 정면 중앙, 양쪽 벽 명확",final_clean,01_좋은조건
054,기존,올림픽파크포레온_417동중층_112_98__84_99__거실.png,4500,4340,4993,15.0,ok,one_unclear,none,거실,"창문 정면, 좌측 흰·우측 패널 벽",final_suspect,02_의심스러운
055,기존,올림픽파크포레온_417동중층_112_98__84_99__알파룸방향1.pn,2100,1940,2495,28.6,ok,one_unclear,none,알파룸,좌측 벽 잘림,rest,05_나머지
056,기존,올림픽파크포레온_417동중층_112_98__84_99__알파룸방향2.pn,2100,1940,2388,23.1,ok,both_clear,none,알파룸,"창문 정면 중앙, 양쪽 벽 명확",final_suspect,02_의심스러운
057,기존,올림픽파크포레온_310동저층_112_69__84_99__3000침실.pn,3000,2840,3082,8.5,ok,one_unclear,yes,침실,붙박이장 열린 상태,rest,03_장애물있음
058,기존,올림픽파크포레온_310동저층_112_69__84_99__부엌.png,3000,2840,1767,37.8,ok,one_unclear,yes,주방,"아일랜드+상부장 전경 차지, 벽 가림 심함",rest,03_장애물있음
059,기존,올림픽파크포레온_210동고층__112_69__84_99__2700작은침실,2700,2540,2782,9.5,ok,one_unclear,none,침실(작은),"창문 정면, 양쪽 벽 명확",final_suspect,02_의심스러운
060,기존,올림픽파크포레온_210동고층__112_69__84_99__거실1방향.pn,4200,4040,1408,65.1,ok,one_unclear,yes,거실,식탁+의자 중앙 가까이,rest,03_장애물있음
061,기존,올림픽파크포레온_210동고층__112_69__84_99__거실2방향.pn,4650,4490,5524,23.0,ok,one_unclear,yes,거실,주방아일랜드+유리파티션 가까이,rest,03_장애물있음
062,기존,올림픽파크포레온_210동고층__112_69__84_99__거실3방향.pn,4200,4040,4259,5.4,ok,both_clear,none,거실,"창문 정면, 양쪽 벽 명확",final_clean,01_좋은조건
063,기존,올림픽파크포레온_210동고층__112_69__84_99__발코니창고160,1600,1440,234,83.8,ok,both_clear,none,발코니창고,"수전+선반, 매우 좁은 특수공간",failed,04_실패_이상
H1,신규-헬리오,헬리오시티406동거실,4500,4340,4516,4.1,ok,both_clear,none,거실,"양쪽벽명확,창문가운데",final_clean,01_좋은조건
H2,신규-헬리오,헬리오시티108동작은방,2750,2590,2820,8.9,ok,both_clear,none,작은방,양쪽벽명확,final_clean,01_좋은조건
H3,신규-헬리오,헬리오시티108동큰방,3850,3690,3989,8.1,ok,both_clear,none,큰방,양쪽벽명확,final_clean,01_좋은조건
H4,신규-헬리오,헬리오시티111동거실,4500,4340,4446,2.4,ok,both_clear,none,거실,양쪽벽명확,final_clean,01_좋은조건
H5,신규-헬리오,헬리오시티315동거실,4500,4340,4345,0.1,ok,both_clear,none,거실,양쪽벽완벽,final_clean,01_좋은조건
H6,신규-헬리오,헬리오시티512동방,3600,3440,3306,3.9,ok,both_clear,none,방,양쪽벽명확,final_clean,01_좋은조건
H9,신규-헬리오,헬리오시티406동다른시점,4500,4340,3676,15.3,ok,both_clear,none,거실,양쪽벽명확,final_clean,01_좋은조건
M1,신규-마포,마포206동,3500,3340,3910,17.1,ok,both_clear,none,거실,왼쪽타일벽+유리문,rest,05_나머지
M2,신규-마포,마포102동,4500,4340,3987,8.1,ok,both_clear,none,거실,양쪽벽명확,final_clean,01_좋은조건
M3,신규-마포,마포403동반대방향,3500,3340,4495,34.6,ok,both_clear,yes,거실,반대방향촬영,rest,03_장애물있음
M4,신규-마포,마포307동(가구),3500,3340,4075,22.0,ok,both_clear,yes,거실,소파+테이블있음,rest,03_장애물있음
M5,신규-마포,마포304동,4500,4340,4733,9.1,ok,both_clear,none,거실,양쪽벽명확,final_clean,01_좋은조건
M6,신규-마포,마포307동다른관점(가구),3500,3340,3917,17.3,ok,both_clear,yes,거실,소파+테이블있음,rest,03_장애물있음
M7,신규-마포,마포309동다른관점,4800,4640,962,79.3,ok,both_clear,none,거실,RANSAC실패,failed,04_실패_이상
M8,신규-마포,마포309동,4800,4640,54,98.8,ok,one_unclear,none,거실,RANSAC실패,failed,04_실패_이상
M9,신규-마포,마포403동다른방,3500,3340,3888,16.4,ok,both_clear,none,거실,양쪽벽보이나오차,final_clean,01_좋은조건
M10,신규-마포,마포403동,3500,3340,2573,23.0,ok,both_clear,none,거실,오른쪽depth0.5m,rest,05_나머지
M11,신규-마포,마포412동,3500,3340,3979,19.1,ok,both_clear,none,거실,양쪽벽보이나오차,rest,05_나머지
