image_id,filename,wall_visible,room,direction,gt_mm,gt_adj_mm,f_wide_geocalib,f_estimated_depthpro,D_A_fwide_mm,err_A_pct,D_B_none_mm,f_B_estimated,err_B_pct,D_C_800_mm,err_C_pct,status,note
031,개포자이프레지던스_422동25층_150_21__114_18__거실.jpg,both_clear,거실,좌우,5300,5140,482.8,612.5,67,98.7,124,612.5,97.6,121,97.6,ok,"창문 정면, 양쪽 패널 벽"
032,개포자이프레지던스_419동고층_171_3__132_81__거실.png,one_unclear,거실,좌우,5100,4940,492.2,463.3,5010,1.4,4947,463.3,0.1,5080,2.8,ok,"광각 왜곡, 좌측 패널 벽"
033,개포자이프레지던스_419동18층_171_3__132_81__거실1방향.png,one_unclear,거실,좌우,5100,4940,499.0,524.8,1270,74.3,1328,524.8,73.1,887,82.0,ok,"코너 촬영, 좌측 벽 잘림"
034,개포자이프레지던스_419동18층_171_3__132_81__거실2방향.png,both_clear,거실,좌우,5100,4940,530.2,647.7,,,,647.7,,,,partial_ransac_fail,"좌측 패널 벽, 우측 창문"
035,래미안원베일리_115동31층_113_76__84_93__거실1방향_4500.jpg,both_clear,거실,좌우,4500,4340,289.3,301.7,4568,5.3,4763,301.7,9.7,6131,41.3,ok,"창문 우측, 좌측 패널 벽"
036,래미안원베일리_115동31층_113_76__84_93__거실2_4500.jpg,one_unclear,거실,좌우,4500,4340,299.2,235.0,4345,0.1,3928,235.0,9.5,5449,25.6,ok,"주방 방향, 좌측 벽 끝 불명확"
037,래미안원베일리_115동31층_113_76__84_93__큰침실_3600.jpg,one_unclear,안방,앞뒤,3600,3440,451.0,447.6,3856,12.1,3938,447.6,14.5,3927,14.2,ok,우측 복도 방향 열려있음
038,래미안원베일리_107동8층_80_38__59_96__거실1방향_3600.jpg,both_clear,거실,좌우,3600,3440,356.5,471.7,3998,16.2,4029,471.7,17.1,3969,15.4,ok,"주방 방향, 빌트인 아일랜드"
039,래미안원베일리_107동8층_80_38__59_96__거실2방향_3600.jpg,one_unclear,거실,좌우,3600,3440,364.9,368.9,4465,29.8,4454,368.9,29.5,4495,30.7,ok,"창문 정면, 우측 아일랜드 가림"
040,래미안원베일리_103동12층_154_87__116_95__거실_5000.jpg,one_unclear,거실,좌우,5000,4840,319.5,347.9,5403,11.6,5524,347.9,14.1,6454,33.3,ok,"코너 촬영, 좌측 아일랜드 가림"
041,래미안원베일리_103동12층_154_87__116_95__발코니쪽방_2700.jpg,both_clear,침실(발코니),좌우,2700,2540,300.2,356.9,2606,2.6,2724,356.9,7.2,2774,9.2,ok,"창문 정면, 양쪽 벽 명확"
042,래미안원베일리_103동12층_154_87__116_95__입구방시점1_3300.jpg,one_unclear,침실(입구),앞뒤,3300,3140,386.0,363.7,3630,15.6,3589,363.7,14.3,3656,16.4,ok,붙박이장 벽면 차지
043,래미안원베일리_103동12층_154_87__116_95__입구방시점2_3300.jpg,one_unclear,침실(입구),좌우,3300,3140,352.6,378.6,1495,52.4,1448,378.6,53.9,1513,51.8,ok,좌측 벽 잘림
044,래미안원베일리_115동24층_112_85__84_95__작은방1시점_2800.jpg,one_unclear,침실(작은),앞뒤,2800,2640,424.5,463.7,3397,28.7,3545,463.7,34.3,4047,53.3,ok,"붙박이장 정면, 우측 문 열림"
045,래미안원베일리_115동24층_112_85__84_95__작은방2시점_2800.jpg,one_unclear,침실(작은),좌우,2800,2640,457.4,421.2,2689,1.9,2625,421.2,0.6,2844,7.7,ok,"좌측 코너 창문, 좌측 벽 잘림"
046,래미안원베일리_115동24층_112_85__84_95__큰침실_3600.jpg,both_clear,안방,좌우,3600,3440,467.9,482.0,3830,11.3,3862,482.0,12.3,3920,14.0,ok,"정면 문 두 개, 양쪽 벽 명확"
047,올림픽파크포레온_312동중층_112_69__84_99__2700작은방2방향.png,both_clear,침실(작은),앞뒤,2700,2540,616.9,703.8,3041,19.7,3029,703.8,19.3,3076,21.1,ok,"붙박이장 정면, 양쪽 벽 명확"
048,올림픽파크포레온_312동중층_112_69__84_99__3000작은방.png,both_clear,침실(작은),앞뒤,3000,2840,545.7,691.6,3837,35.1,3911,691.6,37.7,3916,37.9,ok,"붙박이장 정면, 양쪽 벽 명확"
049,올림픽파크포레온_312동중층_112_69__84_99__큰침실1방향.png,one_unclear,안방,좌우,3600,3440,564.1,613.9,4008,16.5,4201,613.9,22.1,4585,33.3,ok,"발코니 도어 우측, 우측 벽 잘림"
050,올림픽파크포레온_312동중층_112_69__84_99__큰침실2방향.png,both_clear,안방,좌우,3600,3440,811.4,688.6,3299,4.1,3273,688.6,4.9,3257,5.3,ok,"문 방향, 양쪽 벽 명확"
051,올림픽파크포레온_321동고층__62_24__39_95__거실.png,one_unclear,거실,좌우,3100,2940,410.9,481.7,844,71.3,1015,481.7,65.5,1046,64.4,ok,"코너 촬영, 우측 빌트인장+주방 가림"
052,올림픽파크포레온_321동고층__62_24__39_95__큰침실.png,one_unclear,안방,앞뒤,2700,2540,389.3,497.6,2606,2.6,3031,497.6,19.3,3389,33.4,ok,"코너 촬영, 좌측 창문벽 잘림"
053,올림픽파크포레온_417동중층_112_98__84_99__2700작은방.png,both_clear,침실(작은),좌우,2700,2540,402.9,449.0,2844,12.0,2852,449.0,12.3,3051,20.1,ok,"창문 정면 중앙, 양쪽 벽 명확"
054,올림픽파크포레온_417동중층_112_98__84_99__거실.png,both_clear,거실,좌우,4500,4340,986.7,725.0,4993,15.0,4898,725.0,12.9,4883,12.5,ok,"창문 정면, 좌측 흰·우측 패널 벽"
055,올림픽파크포레온_417동중층_112_98__84_99__알파룸방향1.png,one_unclear,알파룸,좌우,2100,1940,361.3,407.1,2495,28.6,2563,407.1,32.1,2712,39.8,ok,좌측 벽 잘림
056,올림픽파크포레온_417동중층_112_98__84_99__알파룸방향2.png,both_clear,알파룸,좌우,2100,1940,439.1,485.9,2388,23.1,2426,485.9,25.1,2408,24.1,ok,"창문 정면 중앙, 양쪽 벽 명확"
057,올림픽파크포레온_310동저층_112_69__84_99__3000침실.png,one_unclear,침실,앞뒤,3000,2840,375.9,430.8,3082,8.5,3205,430.8,12.9,3871,36.3,ok,붙박이장 열린 상태
058,올림픽파크포레온_310동저층_112_69__84_99__부엌.png,one_unclear,주방,앞뒤,3000,2840,629.8,818.8,1767,37.8,2187,818.8,23.0,2183,23.1,ok,"아일랜드+상부장 전경 차지, 벽 가림 심함"
059,올림픽파크포레온_210동고층__112_69__84_99__2700작은침실.png,both_clear,침실(작은),좌우,2700,2540,467.9,553.3,2782,9.5,3174,553.3,25.0,2432,4.3,ok,"창문 정면, 양쪽 벽 명확"
060,올림픽파크포레온_210동고층__112_69__84_99__거실1방향.png,one_unclear,거실,좌우,4200,4040,638.6,758.8,1408,65.1,1354,758.8,66.5,1351,66.6,ok,이모지로 중앙 가려짐
061,올림픽파크포레온_210동고층__112_69__84_99__거실2방향.png,one_unclear,거실,좌우,4650,4490,687.5,707.1,5524,23.0,5555,707.1,23.7,5527,23.1,ok,좌측 냉장고 비닐 차지
062,올림픽파크포레온_210동고층__112_69__84_99__거실3방향.png,both_clear,거실,좌우,4200,4040,476.0,631.5,4259,5.4,4335,631.5,7.3,4289,6.2,ok,"창문 정면, 양쪽 벽 명확"
063,올림픽파크포레온_210동고층__112_69__84_99__발코니창고1600.png,both_clear,발코니창고,앞뒤,1600,1440,540.1,570.4,234,83.8,313,570.4,78.3,263,81.7,ok,"수전+선반, 매우 좁은 특수공간"
